File;Adapt;Parse
all;88;2013
all;53;1694
all;45;1585
all;51;1523
all;46;1607
all;47;1524
all;51;1546
all;46;1641
all;49;1550
all;49;1604
all;48;1526
all;54;1510
all;47;1516
all;44;1506
all;49;1521
all;56;1784
all;55;1747
all;52;1584
all;50;1531
all;58;1568
all;52;1583
all;55;1597
all;51;1631
all;60;1700
all;49;1628
all;45;1545
all;55;1536
all;57;1646
all;56;1643
all;54;1520
average;52,4;1603,6333333333
des.pad;7,9376883632;105,837377966
int.max;56,4236785128;1657,2831573231
error;0,0713118786;0,032372153
