File;Adapt;Parse
execution 2;50815;1071
execution 3;51610;667
execution 1;54923;593
execution 6;36990;831
execution 7;36397;638
execution 4;35929;780
execution 5;53311;619
execution 9;34154;559
execution 8;49489;816
execution 21;34136;500
execution 20;37991;731
execution 23;37804;618
execution 22;39451;642
execution 25;47582;505
execution 24;38668;640
execution 27;38988;523
execution 26;37490;524
execution 29;38659;645
execution 28;55176;524
execution 19;33712;712
execution 10;50886;687
execution 30;35738;647
execution 18;33121;639
execution 17;52187;587
execution 16;41134;539
execution 15;36609;692
execution 14;38269;678
execution 13;44036;825
execution 12;48979;634
execution 11;36883;684
média;42037,2333333333;658,3333333333
des. Padrao;7255,5772444772;120,4441015957
;2709,2775428703;44,9745745416
;1,0644494732;1,0683158094
