File;Adapt;Parse
execution 2;43307;1016
execution 3;48602;891
execution 1;44856;901
execution 6;48688;1284
execution 7;37635;774
execution 4;37439;804
execution 5;35672;5587
execution 9;37503;498
execution 8;47525;739
execution 21;37226;470
execution 20;37465;913
execution 23;38563;492
execution 22;51275;476
execution 25;40279;1341
execution 24;46519;495
execution 27;67324;466
execution 26;35216;1310
execution 29;37372;485
execution 28;35291;701
execution 19;36764;709
execution 10;47439;608
execution 30;32105;800
execution 18;43937;1401
execution 17;35727;462
execution 16;35711;783
execution 15;34394;382
execution 14;35738;478
execution 13;37896;601
execution 12;35229;1364
execution 11;35100;423
;40593,2333333333;921,8
