File;Adapt;Parse
closures;3;756
closures;4;830
closures;3;756
closures;4;833
closures;3;732
closures;2;699
closures;4;832
closures;4;826
closures;4;849
closures;4;842
closures;3;715
closures;3;772
closures;4;858
closures;4;815
closures;4;825
closures;4;832
closures;4;744
closures;3;756
closures;4;789
closures;3;755
closures;4;820
closures;4;826
closures;3;815
closures;3;760
closures;3;747
closures;3;794
closures;4;813
closures;3;800
closures;4;844
closures;3;745
Média;3,5;792,6666666667
des. Padrão;0,5723514715;44,052737465
variação intervalo;0,2137195892;16,4495653887
;1,0610627398;1,0207521851
