File;Adapt;Parse
execution 2;16919;196
execution 3;16642;222
execution 1;18183;246
execution 6;17202;201
execution 7;20236;204
execution 4;16481;259
execution 5;19545;255
execution 9;17411;253
execution 8;17000;190
execution 21;16767;242
execution 20;16699;207
execution 23;17403;197
execution 22;16683;200
execution 25;19198;320
execution 24;18191;200
execution 27;16816;204
execution 26;19461;199
execution 29;17224;212
execution 28;18050;195
execution 19;19525;196
execution 10;17597;202
execution 30;16614;203
execution 18;16023;211
execution 17;16862;249
execution 16;16791;214
execution 15;17107;205
execution 14;18363;213
execution 13;17434;234
execution 12;19271;254
execution 11;16744;192
Média;17614,7333333333;219,1666666667
Desvio padrão;1125,0206107946;29,0731341007
