File;Adapt;Parse
execution: n-closures18;22536;383
execution: n-closures19;23938;311
execution: n-closures14;24229;345
execution: n-closures15;22777;377
execution: n-closures16;21809;440
execution: n-closures17;22058;341
execution: n-closures10;22386;376
execution: n-closures11;21360;386
execution: n-closures12;23386;402
execution: n-closures30;23354;326
execution: n-closures13;23122;472
execution: n-closures27;21944;362
execution: n-closures28;22923;397
execution: n-closures25;23807;395
execution: n-closures26;22818;349
execution: n-closures29;21820;406
execution: n-closures6;22515;337
execution: n-closures20;24641;380
execution: n-closures5;22398;405
execution: n-closures8;22362;364
execution: n-closures7;24078;338
execution: n-closures23;22821;342
execution: n-closures9;22015;378
execution: n-closures24;25516;554
execution: n-closures21;22678;307
execution: n-closures22;22917;365
execution: n-closures2;22258;356
execution: n-closures1;24197;389
execution: n-closures4;22344;385
execution: n-closures3;24241;359
average;22974,9333333333;377,5666666667
des.pad;978,2542132529;48,506439909
int.max;23470,8183161899;402,1549738744
error;0,0215837398;0,0651230879
