File;Adapt;Parse
n-xml;97;18145
n-xml;64;16167
n-xml;67;20794
n-xml;70;16917
n-xml;59;19785
n-xml;62;17409
n-xml;73;21656
n-xml;74;22875
n-xml;60;17194
n-xml;66;20728
n-xml;68;19463
n-xml;76;20859
n-xml;62;19789
n-xml;65;19553
n-xml;77;20322
n-xml;71;17896
n-xml;64;16851
n-xml;68;19962
n-xml;59;19857
n-xml;70;15780
n-xml;69;19829
n-xml;75;16627
n-xml;71;20377
n-xml;69;21857
n-xml;78;18364
n-xml;63;20367
n-xml;71;21031
n-xml;75;16993
n-xml;73;16754
n-xml;70;16657
media;69,5333333333;19028,6
des.pad;7,4497550681;1941,4149585751
int.ax;73,3096745074;20012,7189645882
error;0,0543097964;0,051717886
