File;Adapt;Parse
pairs;2;372
pairs;3;369
pairs;3;355
pairs;3;370
pairs;3;354
pairs;3;393
pairs;3;356
pairs;3;367
pairs;3;402
pairs;3;356
pairs;2;355
pairs;3;355
pairs;3;370
pairs;3;372
pairs;3;375
pairs;3;382
pairs;3;372
pairs;3;358
pairs;3;372
pairs;3;356
pairs;3;354
pairs;3;354
pairs;3;372
pairs;3;371
pairs;3;354
pairs;3;376
pairs;2;394
pairs;3;370
pairs;3;371
pairs;3;371
Media;2,9;368,2666666667
des. Pad.;0,3051285766;12,7412805434
int. Max;3,0546721465;374,7253249563
error;0,0533352229;0,0175379932
