File;Adapt;Parse
execution 2;14913;14
execution 3;12909;13
execution 1;12567;13
execution 6;11553;13
execution 7;12835;16
execution 4;14935;46
execution 5;13001;14
execution 9;11310;17
execution 8;12438;17
execution 21;12696;10
execution 20;12520;19
execution 23;13480;16
execution 22;12097;12
execution 25;15018;11
execution 24;12641;12
execution 27;14059;16
execution 26;10592;4
execution 29;12448;18
execution 28;12231;8
execution 19;12360;15
execution 10;11382;12
execution 31;11548;14
execution 30;11509;16
execution 18;11924;11
execution 17;11734;9
execution 16;12812;18
execution 15;14596;18
execution 14;11809;17
execution 13;14907;9
execution 12;12123;13
execution 11;12454;13
Média;12690,3548387097;14,6451612903
Desvio Padrão;1185,0523912015;6,7456078901
