File;Adapt;Parse
xml;14;1287
xml;16;1006
xml;15;970
xml;17;1055
xml;15;968
xml;16;987
xml;16;1077
xml;14;975
xml;15;1106
xml;15;975
xml;16;987
xml;25;1057
xml;15;1126
xml;15;1057
xml;16;984
xml;21;1172
xml;15;1062
xml;14;1120
xml;16;1031
xml;15;1032
xml;17;1060
xml;16;982
xml;15;1040
xml;18;1053
xml;15;1067
xml;15;985
xml;15;990
xml;15;1038
xml;16;1065
xml;22;1122
average;16,1666666667;1047,8666666667
des.pad;2,4365511711;70,3472830313
int.max;17,4017741871;1083,5262741259
error;0,0763984033;0,0340306726
