File;Adapt;Parse
n-closures;32;1235
n-closures;30;1246
n-closures;32;1363
n-closures;28;1238
n-closures;37;1304
n-closures;32;1235
n-closures;33;1242
n-closures;32;1276
n-closures;33;1230
n-closures;34;1253
n-closures;32;1247
n-closures;35;1255
n-closures;28;1285
n-closures;34;1309
n-closures;34;1248
n-closures;35;1208
n-closures;32;1235
n-closures;39;1291
n-closures;32;1228
n-closures;31;1249
n-closures;32;1202
n-closures;30;1226
n-closures;34;1283
n-closures;30;1250
n-closures;34;1272
n-closures;27;1300
n-closures;37;1288
n-closures;35;1330
n-closures;31;1279
n-closures;29;1231
