File;Adapt;Parse
execution: all16;45544;475
execution: all17;36905;490
execution: all18;38951;381
execution: all19;41784;393
execution: all10;35996;356
execution: all11;44237;409
execution: all30;37517;441
execution: all12;31732;410
execution: all13;46997;357
execution: all14;36827;349
execution: all15;33012;304
execution: all8;41300;370
execution: all7;40217;474
execution: all9;50617;363
execution: all4;35808;468
execution: all3;34400;424
execution: all6;37217;362
execution: all5;50565;376
execution: all29;38982;411
execution: all27;39365;343
execution: all28;42908;469
execution: all21;34949;461
execution: all22;41958;414
execution: all1;35598;314
execution: all2;40396;349
execution: all20;45105;416
execution: all25;43349;407
execution: all26;34149;417
execution: all23;34311;406
execution: all24;35401;422
