File;Adapt;Parse
execution 2;17008;135
execution 3;17006;275
execution 1;16459;123
execution 6;16548;145
execution 7;16423;234
execution 4;17411;151
execution 5;17007;134
execution 9;17333;134
execution 8;16559;163
execution 21;16120;131
execution 20;16714;164
execution 23;17601;182
execution 22;16904;166
execution 25;16773;131
execution 24;16266;162
execution 27;16635;131
execution 26;16568;160
execution 29;16626;159
execution 28;16448;143
execution 19;17009;137
execution 10;17340;167
execution 30;16899;150
execution 18;17130;140
execution 17;16699;154
execution 16;16640;134
execution 15;17279;158
execution 14;16469;148
execution 13;16578;141
execution 12;16582;153
execution 11;16791;138
