File;Adapt;Parse
execution: n-pairs29;27636;149
execution: n-pairs3;31301;120
execution: n-pairs28;29754;139
execution: n-pairs2;30072;101
execution: n-pairs1;27329;90
execution: n-pairs27;29490;146
execution: n-pairs26;29466;100
execution: n-pairs7;28936;96
execution: n-pairs25;28190;108
execution: n-pairs24;28459;91
execution: n-pairs6;26985;120
execution: n-pairs23;39729;109
execution: n-pairs5;31290;136
execution: n-pairs22;29129;94
execution: n-pairs4;28282;96
execution: n-pairs21;29664;101
execution: n-pairs20;30055;104
execution: n-pairs9;29526;97
execution: n-pairs8;29624;95
execution: n-pairs19;31130;142
execution: n-pairs17;28894;122
execution: n-pairs18;28556;96
execution: n-pairs15;33011;114
execution: n-pairs16;29607;91
execution: n-pairs30;29813;99
execution: n-pairs12;31071;143
execution: n-pairs11;28190;91
execution: n-pairs14;28584;96
execution: n-pairs13;28308;98
execution: n-pairs10;28307;148
