File;Adapt;Parse
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/eblock/ConcatIds.sugj;7;98
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/swul/SwulSyntax.sugj;20;1478
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/trans/SwulMenubar.sugj;7;5
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/concretesyntax/Java.sugj;418;355
init;158;0
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/eblock/EBlock.sugj;330;151
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/trans/SwulWidget.sugj;6;5
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/concretesyntax/MetaExplode.sugj;8;575
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/trans/SwulGridbag.sugj;10;430
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/trans/SwulEvent.sugj;267;430
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/trans/SwulAssimilate.sugj;344;2
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/swul/src/test/HelloWord.sugj;851;32
