File;Adapt;Parse
execution 2;17278;661
execution 3;31929;625
execution 1;20007;569
execution 6;16332;652
execution 7;19525;564
execution 4;17446;667
execution 5;22484;629
execution 9;16503;574
execution 8;16857;521
execution 21;17237;632
execution 20;27716;534
execution 23;16654;561
execution 22;18336;809
execution 25;18323;715
execution 24;32710;601
execution 27;36659;560
execution 26;32049;656
execution 29;32109;565
execution 28;34712;591
execution 19;19746;632
execution 10;17737;629
execution 30;16768;631
execution 18;30306;592
execution 17;18013;698
execution 16;16498;500
execution 15;17693;609
execution 14;21902;1030
execution 13;32916;618
execution 12;18409;621
execution 11;21380;597
